Comment,Designator,Footprint,LCSC
1uF,C1,Capacitor_SMD:C_0805_2012Metric,
0.1uF,"C4,C5,C6",Capacitor_SMD:C_0805_2012Metric,
10uF,"C2,C3,C7",Capacitor_SMD:C_0805_2012Metric,
D_Small,"D1,D2,D3,D4,D5,D6",Diode_SMD:D_SOD-123,
500mA,F1,Fuse:Fuse_1206_3216Metric,
MX-NoLED,"MX1,MX2,MX3,MX4,MX5,MX6",MX_Alps_Hybrid:MX-1U-NoLED,
10k,"R1,R4",Resistor_SMD:R_0805_2012Metric,
22,"R2,R3",Resistor_SMD:R_0805_2012Metric,
5.1k,"R5,R6",Resistor_SMD:R_0805_2012Metric,
SW_Push,SW1,random-keyboard-parts:SKQG-1155865,
ATmega32U4-AU,U1,Package_QFP:TQFP-44_10x10mm_P0.8mm,
HRO-TYPE-C-31-M-12,USB1,Type-C:HRO-TYPE-C-31-M-12,
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,
